School,Program,95%+,90%094%,85%089%,80%084%,75%079%,70%074%,>70%,Overall Average
UoT,Architecture,5.50%,30.80%,47.30%,15.90%,0.50%,0,0,88.30%
Brock,Architecture,0,0,0,0,0,0,0,0
Western,Architecture,0,0,0,0,0,0,0,0
Waterloo,Architecture,28.60%,57.10%,14.30%,5.30%,0.00%,0.00%,0.00%,92.50%
Guelph,Architecture,0,0,0,0,0,0,0,0
Carleton,Architecture,0,22.50%,36.00%,29.20%,6.70%,0,0.00%,85.90%
UoT,Arts,4.70%,17.00%,28.60%,27.60%,19.40%,2.60%,0.00%,84.60%
Brock,Arts,1.70%,10.30%,20.70%,26.60%,20.60%,17.00%,3.10%,81.00%
Western,Arts,10.10%,33.70%,43.30%,12.60%,0,0,0.00%,89.00%
Waterloo,Arts,7.50%,32.90%,37.20%,21.50%,1.40%,0,0.00%,88.10%
Guelph,Arts,0,8.30%,21.00%,38.40%,26.60%,0,0.00%,82.20%
Carleton,Arts,0.90%,7.60%,18.60%,27.10%,25.90%,19.20%,0.80%,80.50%
UoT,Science,8.90%,28.20%,31.70%,22.00%,8.60%,0.80%,0.00%,87.20%
Brock,Science,4.80%,9.70%,14.20%,21.90%,28.70%,17.90%,2.80%,80.70%
Western,Science,26.90%,42.10%,25.70%,5.30%,0.00%,0,0.00%,91.50%
Waterloo,Science,8.10%,27.10%,36.20%,28.10%,0.50%,0.00%,0.00%,87.60%
Guelph,Science,5.00%,19.30%,37.50%,29.40%,8.40%,0,0.00%,86.20%
Carleton,Science,2.20%,11.40%,18.60%,26.30%,26.70%,13.80%,1.00%,81.50%
UoT,Business & Commerce,9.80%,42.10%,34.50%,12.40%,1.10%,0,0.10%,89.40%
Brock,Business & Commerce,2.80%,15.30%,26.9,32.80%,19.70%,2.40%,0,83.90%
Western,Business & Commerce,11.30%,53.70%,32.00%,2.90%,0,0.00%,0.00%,90.50%
Waterloo,Business & Commerce,0,0,0,0,0,0,0,0
Guelph,Business & Commerce,0.00%,6.20%,25.20%,47.00%,19.70%,0,0.00%,82.60%
Carleton,Business & Commerce,0,6.80%,22.80%,35.90%,31.50%,1.90%,0,82.00%
UoT,Physical Education,1.50%,19.80%,33.70%,39.60%,3.50%,2.00%,0,85.50%
Brock,Physical Education,1.80%,8.50%,22.80%,37.80%,19.40%,8.50%,1.10%,82.10%
Western,Physical Education,2.30%,25.80%,57.50%,14.40%,0.00%,0.00%,0.00%,87.70%
Waterloo,Physical Education,6.20%,21.30%,37.90%,32.10%,2.60%,0.00%,0.00%,86.70%
Guelph,Physical Education,0.00%,0,28.60%,57.10%,10.20%,0,0.00%,82.80%
Carleton,Physical Education,0,0,0,0,0,0,0,0
UoT,Engineering,49.50%,41.90%,7.60%,1.00%,0,0,0,94.00%
Brock,Engineering,0,0,0,0,0,0,0,0
Western,Engineering,11.60%,45.10%,39.80%,3.40%,0.00%,0.00%,0.00%,90.30%
Waterloo,Engineering,43.40%,46.40%,10.20%,0,0.00%,0.00%,0.00%,93.70%
Guelph,Engineering,0,16.40%,52.10%,27.90%,0,0.00%,0.00%,86.60%
Carleton,Engineering,3.50%,13.50%,32.30%,30.70%,16.40%,3.50%,0,84.30%
UoT,Fine Arts,5.90%,52.90%,11.80%,23.50%,5.90%,0,0,88.10%
Brock,Fine Arts,0,16.70%,24.10%,24.10%,24.10%,0,0,83.20%
Western,Fine Arts,0,0,0,0,0,0,0,0
Waterloo,Fine Arts,0,0,0,0,0,0,0,0
Guelph,Fine Arts,0,7.20%,17.10%,31.50%,29.60%,13.90%,0,80.70%
Carleton,Fine Arts,0,0,0,0,0,0,0,0
UoT,Music,0,0,0,0,0,0,0,0
Brock,Music,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,88.00%
Western,Music,7.30%,28.00%,39.00%,25.60%,0.00%,0.00%,0.00%,87.70%
Waterloo,Music,0,0,0,0,0,0,0,0
